SecurityID,VOLUME_RATIO,ACT,L_ACT,M_ACT,S_ACT,X_ACT,XLS_ORDER_RATIO,L_ORDER_RATIO,M_ORDER_RATIO,S_ORDER_RATIO
000030.SZ,2.6699087779,0.0186036485,0.1671919629,-0.0730003379,-0.1300679417,0.7571721250,0.1293621618,0.2213343764,0.2327402385,0.4165632232
000031.SZ,3.8532570614,-0.2329684191,-0.3261843523,-0.1635981095,-0.2905209426,-0.6038466408,0.0355915920,0.2178773207,0.2911713697,0.4553597176
000032.SZ,3.6298711887,-0.1431297900,-0.1589103377,-0.1311405877,-0.0957332954,0.0400983910,0.0694932240,0.2208910610,0.3466738758,0.3629418393
000034.SZ,4.1708772151,-0.1262999467,-0.1224287042,-0.1298259009,-0.1713954288,-0.1570536460,0.1654860183,0.2659665981,0.3095095245,0.2590378591
000035.SZ,1.8546662180,-0.2209104020,-0.2529033294,-0.1992131402,-0.2323593755,-0.7631570814,0.0655436096,0.2212704554,0.3271666404,0.3860192946
000036.SZ,1.0993982228,0.0771361436,0.1402017266,0.0243888350,-0.1911185726,0.2907166611,0.0954331444,0.2916644978,0.3033873066,0.3095150512
000037.SZ,2.7581097317,-0.3264975547,-0.4877615895,-0.2553363896,-0.0443819199,0.0000000000,0.0424515419,0.1562639889,0.3573777787,0.4439066905
000039.SZ,5.0216780568,-0.0795795316,-0.0814821519,-0.0780967077,-0.0013371645,-0.3230542149,0.1248038786,0.2602067162,0.3360567814,0.2789326238
000042.SZ,2.4489624817,-0.1361013910,-0.0668476736,-0.1635805147,0.0601650769,0.0000000000,0.0378107899,0.1771692404,0.4108851081,0.3741348616
000045.SZ,0.7090381125,0.0677532015,0.1280572222,0.0425440767,-0.0892893694,0.0000000000,0.0565999282,0.1856911571,0.3440271917,0.4136817230
000048.SZ,7.0590953203,-0.1198600246,-0.1330659750,-0.1087172832,-0.2006341807,-0.1853378746,0.0590316970,0.3006999465,0.3573300128,0.2829383436
000049.SZ,2.7923161743,-0.2641093278,-0.3477315490,-0.2012026463,-0.0725831388,-1.0000000000,0.0573039655,0.2379967568,0.3072849785,0.3974142992
000050.SZ,5.3948175406,-0.2124628082,-0.1303954049,-0.2533764032,-0.0332437267,-0.8406335813,0.0783480692,0.1727286842,0.3370866339,0.4118366127
000055.SZ,1.6269390263,-0.0418019787,0.0470833980,-0.1024797641,-0.4344958032,1.0000000000,0.0132023810,0.2287531468,0.3457196464,0.4123248257
000056.SZ,6.0949750066,0.0488467483,0.2240670191,-0.0621108306,-0.1867464170,1.0000000000,0.0339703262,0.2076440764,0.3549002503,0.4034853471
000058.SZ,5.6742970372,-0.0361300032,-0.0422300729,-0.0318950569,-0.2165269004,-0.2762516761,0.0822453416,0.2256876611,0.3302678393,0.3617991580
000059.SZ,1.3871084888,-0.2347796744,-0.0759600157,-0.3087070569,-0.3373357029,0.1913321731,0.0912228675,0.1789868497,0.3760797945,0.3537104883
000060.SZ,4.8730830869,-0.1558670290,-0.2544998542,-0.0705636347,-0.2450685935,-0.3889092693,0.1079553714,0.2563320737,0.3109996556,0.3247128993
000061.SZ,3.6382972518,0.0243432740,-0.0956418094,0.1149375282,0.0876990312,-0.2722407943,0.0624720393,0.2566279303,0.3417842137,0.3391158167
000062.SZ,3.7840844083,-0.2616569651,-0.3753116319,-0.1878925319,0.0667835986,-0.3276521228,0.1490618749,0.1984220320,0.3170959926,0.3354201005
000063.SZ,6.0332888082,-0.0521284417,-0.0696719943,-0.0348717846,-0.0886853837,0.0106014790,0.1862110467,0.2905901124,0.3028275685,0.2203712724
000065.SZ,6.2865720887,-0.2504356834,-0.2966480120,-0.2147717282,0.0314937831,-0.6021090546,0.1262807782,0.2685933538,0.3117301390,0.2933957290
000066.SZ,3.5596365548,-0.2389733571,-0.2451936514,-0.2342477130,-0.0371699895,-0.7341505686,0.0851935346,0.2079194017,0.3534473345,0.3534397292
000068.SZ,7.0941237650,-0.1753518193,-0.1628059106,-0.1828237636,-0.1170845570,-1.0000000000,0.0395031043,0.1904422676,0.3697789891,0.4002756390
000069.SZ,5.6433705724,-0.3463171125,-0.4420516532,-0.2543501320,-0.1376718786,-0.4029035008,0.0707366000,0.3279662458,0.3375250077,0.2637721465
